ID,brPrijava,KorisnikID,NastanID,Status
1,Dominican Republic_2023:1,3442,48,Neaktiven
2,Mongolia_2023:2,504,37,Aktiven
3,Barbados_2024:3,4508,79,Neaktiven
4,Lithuania_2023:4,67,95,Pending
5,Nepal_2021:5,2954,108,Neaktiven
6,Australia_2020:6,316,105,Pending
7,Belgium_2023:7,1401,61,Neaktiven
8,Seychelles_2024:8,3969,88,Neaktiven
9,Estonia_2024:9,2912,33,Pending
10,Chile_2023:10,4055,41,Aktiven
11,Norway_2023:11,2114,97,Pending
12,Iran_2020:12,674,6,Pending
13,Philippines_2025:13,1726,11,Neaktiven
14,Portugal_2023:14,3277,110,Neaktiven
15,Kazakhstan_2023:15,2919,80,Neaktiven
16,Sri Lanka_2024:16,2492,57,Neaktiven
17,Zambia_2022:17,1232,102,Aktiven
18,Georgia_2023:18,777,51,Aktiven
19,Georgia_2021:19,912,7,Pending
20,Austria_2024:20,1973,93,Neaktiven
21,Belgium_2023:21,2245,61,Aktiven
22,Ukraine_2021:22,4864,27,Neaktiven
23,Great Britain_2021:23,2304,53,Pending
24,Honduras_2024:24,1053,39,Neaktiven
25,Zimbabwe_2025:25,1984,4,Aktiven
26,Singapore_2020:26,4108,25,Aktiven
27,Turkey_2021:27,1113,2,Aktiven
28,United States _2020:28,1942,5,Pending
29,Mongolia_2023:29,4948,37,Pending
30,Singapore_2020:30,1090,25,Aktiven
31,Switzerland_2025:31,793,45,Aktiven
32,Trinidad and Tobago_2023:32,1007,67,Aktiven
33,Switzerland_2025:33,4646,45,Neaktiven
34,Netherlands_2023:34,3986,89,Neaktiven
35,United States _2020:35,2673,5,Neaktiven
36,India_2020:36,2816,38,Neaktiven
37,Kazakhstan_2023:37,3745,80,Neaktiven
38,Panama_2022:38,866,62,Neaktiven
39,Russia_2020:39,3066,9,Pending
40,Canada_2021:40,3450,8,Pending
41,New Zealand_2021:41,1682,94,Neaktiven
42,Venezuela_2025:42,2326,34,Aktiven
43,Panama_2022:43,1688,62,Pending
44,Nepal_2021:44,2328,108,Pending
45,China_2023:45,3430,64,Neaktiven
46,Singapore_2024:46,1598,82,Neaktiven
47,Denmark_2021:47,2882,21,Pending
48,Singapore_2021:48,4037,20,Neaktiven
49,Cuba_2023:49,732,99,Aktiven
50,Malta_2021:50,4574,24,Pending
51,Latvia_2021:51,4525,47,Neaktiven
52,Barbados_2024:52,2340,49,Pending
53,Cuba_2023:53,2835,99,Neaktiven
54,Zambia_2022:54,1389,102,Aktiven
55,Philippines_2024:55,3005,1,Pending
56,Panama_2022:56,1848,62,Aktiven
57,Faroe Islands_2021:57,2596,16,Pending
58,Bangladesh_2021:58,3116,90,Pending
59,Lebanon_2020:59,2643,14,Pending
60,Scotland_2022:60,4271,87,Aktiven
61,Spain_2021:61,3391,68,Aktiven
62,Panama_2022:62,1522,62,Aktiven
63,Barbados_2024:63,5073,49,Aktiven
64,women's_2022:64,712,32,Aktiven
65,Russia_2020:65,3278,9,Pending
66,Pakistan_2022:66,1941,28,Neaktiven
67,Albania_2021:67,2110,60,Pending
68,Georgia_2021:68,3591,7,Pending
69,Colombia_2022:69,3072,84,Neaktiven
70,Venezuela_2024:70,5094,44,Neaktiven
71,India_2021:71,3527,92,Pending
72,Faroe Islands_2021:72,1348,16,Neaktiven
73,Norway_2023:73,2306,97,Pending
74,Italy_2024:74,201,86,Aktiven
75,Denmark_2021:75,4419,21,Pending
76,Nepal_2021:76,240,108,Neaktiven
77,Austria_2021:77,4646,109,Neaktiven
78,Colombia_2022:78,1605,84,Neaktiven
79,Turkey_2021:79,119,2,Neaktiven
80,Colombia_2021:80,557,50,Pending
81,Italy_2024:81,73,86,Neaktiven
82,Nepal_2021:82,1103,108,Aktiven
83,Greece_2020:83,600,40,Aktiven
84,Great Britain_2023:84,3658,98,Neaktiven
85,Botswana_2020:85,357,100,Neaktiven
86,Turkey_2021:86,1947,2,Neaktiven
87,Denmark_2021:87,52,21,Neaktiven
88,Kazakhstan_2024:88,4833,106,Neaktiven
89,Nicaragua_2021:89,3445,81,Aktiven
90,Lithuania_2023:90,4652,95,Neaktiven
91,Northern Ireland_2021:91,4837,76,Neaktiven
92,Hungary_2024:92,1426,85,Aktiven
93,Israel_2021:93,1933,91,Aktiven
94,Panama_2022:94,3927,62,Aktiven
95,Northern Ireland_2021:95,4476,76,Aktiven
96,Bangladesh_2021:96,1351,90,Aktiven
97,United States _2020:97,2993,5,Pending
98,Israel_2021:98,2453,91,Neaktiven
99,Mongolia_2023:99,4559,37,Neaktiven
100,Seychelles_2024:100,3046,88,Aktiven
101,United States _2020:101,3623,5,Neaktiven
102,Morocco_2020:102,81,23,Aktiven
103,Italy_2024:103,4467,86,Pending
104,Faroe Islands_2021:104,530,16,Aktiven
105,Panama_2022:105,196,62,Neaktiven
106,Dominican Republic_2023:106,1960,48,Pending
107,Estonia_2023:107,2948,69,Pending
108,Finland_2024:108,2124,63,Neaktiven
