ID,NatID1,NatID2,SudijaID,Status,Faza,BrPotezi,NastanID,BobednikID
1,2617,1394,19,Pobednik,Kvalifikacii,66,13,2617
2,1226,1026,47,Pobednik,Samostoen,79,86,1026
3,1140,4849,10,Nereseno,Polufinale,79,109,null
4,4789,883,42,Nereseno,CetvrtFinale,49,134,null
5,3124,808,10,Pobednik,Polufinale,80,101,3124
6,1426,2187,38,Nereseno,Finale,20,246,null
7,2435,4205,12,Nereseno,Finale,80,18,null
8,4398,934,3,Pobednik,Kvalifikacii,29,118,934
9,5151,2891,44,Pobednik,Polufinale,75,247,2891
10,1480,2252,9,Nereseno,Kvalifikacii,74,181,null
11,4835,1997,16,Pobednik,Kvalifikacii,22,206,4835
12,2269,3270,48,Pobednik,Samostoen,10,26,3270
13,2578,4027,27,Nereseno,Kvalifikacii,14,82,null
14,2232,3958,6,Nereseno,Finale,26,54,null
15,3408,2307,18,Pobednik,Kvalifikacii,33,225,3408
16,1885,1759,6,Nereseno,Samostoen,68,156,null
17,392,259,18,Nereseno,CetvrtFinale,12,172,null
18,437,4086,7,Pobednik,Finale,12,194,4086
19,511,3285,21,Pobednik,Samostoen,17,242,3285
20,3651,5059,20,Pobednik,Kvalifikacii,37,211,3651
21,1337,1449,14,Nereseno,CetvrtFinale,14,25,null
22,4193,1150,19,Pobednik,Kvalifikacii,54,241,4193
23,1507,3349,8,Pobednik,Kvalifikacii,10,126,3349
24,4460,1083,21,Pobednik,CetvrtFinale,28,11,4460
25,3947,4211,25,Nereseno,Polufinale,19,192,null
26,2120,682,50,Pobednik,Polufinale,71,249,2120
27,1979,3287,21,Nereseno,Finale,70,122,null
28,206,2741,47,Pobednik,Samostoen,75,186,206
29,4184,416,37,Pobednik,Finale,42,216,416
30,1564,2784,40,Pobednik,Samostoen,42,7,2784
31,3726,3081,19,Pobednik,Finale,70,74,3726
32,1800,528,43,Pobednik,Finale,65,69,1800
33,1869,3573,2,Pobednik,Samostoen,70,181,3573
34,2548,4363,35,Pobednik,Samostoen,62,111,4363
35,1975,4137,13,Pobednik,Finale,60,163,1975
36,2264,1782,38,Pobednik,Samostoen,52,216,1782
37,3118,5050,35,Nereseno,Samostoen,47,24,null
38,3271,1645,17,Pobednik,Polufinale,71,13,3271
39,1039,1723,15,Nereseno,CetvrtFinale,27,52,null
40,560,3867,5,Pobednik,Polufinale,79,54,3867
41,3631,4971,21,Pobednik,Samostoen,62,16,4971
42,2759,3948,1,Nereseno,CetvrtFinale,61,94,null
43,4933,1607,10,Nereseno,Finale,37,91,null
44,2312,4729,38,Nereseno,Kvalifikacii,20,100,null
45,3534,1040,11,Nereseno,Polufinale,52,188,null
46,879,4275,8,Nereseno,Kvalifikacii,21,6,null
47,2137,4271,19,Nereseno,CetvrtFinale,47,63,null
48,120,3172,49,Pobednik,CetvrtFinale,79,171,120
49,1254,1817,33,Nereseno,Finale,14,102,null
50,1388,928,12,Pobednik,CetvrtFinale,53,255,928
51,1208,1373,12,Nereseno,Kvalifikacii,34,92,null
52,2526,1530,38,Nereseno,CetvrtFinale,17,20,null
53,477,4456,6,Pobednik,Finale,53,230,477
54,4744,2855,42,Nereseno,CetvrtFinale,41,69,null
55,4360,3332,33,Pobednik,Kvalifikacii,67,236,3332
